common.breadcrumb	Ruta de navegación
aboutPages.iplSafety.topics.fitzpatrick.anchor	Tipos de piel Fitzpatrick y límites de seguridad de la IPL
aboutPages.iplSafety.topics.fitzpatrick.description	Por qué el tono de piel influye en el riesgo (física, no discriminación) y cómo deben comunicar las marcas la compatibilidad de forma responsable.
aboutPages.iplSafety.topics.iplVsLaser.title	IPL frente a láser: comparación de seguridad (y para quién es cada uno)
aboutPages.iplSafety.topics.iplVsLaser.anchor	IPL frente a láser: comparación de seguridad
aboutPages.iplSafety.topics.iplVsLaser.description	Una comparación equilibrada: clase de dispositivo, entrega de energía, riesgos habituales y por qué «más seguro» depende del tipo de piel y del protocolo.
aboutPages.iplSafety.topics.uvFiltering.title	Filtrado de UV y control de longitud de onda (por qué la IPL no es un bronceado con UV)
aboutPages.iplSafety.topics.uvFiltering.anchor	Filtrado de UV y control de longitud de onda
aboutPages.iplSafety.topics.uvFiltering.description	Cómo los filtros y el diseño de la longitud de onda reducen la radiación no deseada y mejoran los márgenes de seguridad durante el tratamiento.
aboutPages.iplSafety.topics.safetySensors.title	Sensores de seguridad: detección del tono de piel y sensores de contacto
aboutPages.iplSafety.topics.safetySensors.anchor	Sensores de seguridad (detección del tono de piel y sensores de contacto)
aboutPages.iplSafety.topics.safetySensors.description	Cómo la detección del tono de piel y los bloqueos de contacto reducen el riesgo de uso incorrecto, especialmente en tipos de piel Fitzpatrick más altos.
aboutPages.iplSafety.topics.sideEffects.title	Efectos secundarios de la IPL explicados (qué es normal y qué no)
aboutPages.iplSafety.topics.sideEffects.anchor	Efectos secundarios de la IPL explicados (qué es normal y qué no)
aboutPages.iplSafety.topics.sideEffects.description	Qué significa el enrojecimiento leve, cómo se manifiestan las quemaduras y el árbol de decisiones para hacer una pausa, reducir los ajustes o buscar ayuda.
aboutPages.iplSafety.topics.contraindications.title	Quién no debería usar IPL (contraindicaciones y factores de riesgo)
aboutPages.iplSafety.topics.contraindications.anchor	Quién no debería usar IPL (contraindicaciones)
aboutPages.iplSafety.topics.contraindications.description	Medicación, exposición al sol, tatuajes, afecciones cutáneas y otras situaciones en las que la IPL debe evitarse o retrasarse.
aboutPages.iplSafety.topics.beforeAfterCare.title	Cuidados previos y posteriores: cómo reducir la irritación y el riesgo
aboutPages.iplSafety.topics.beforeAfterCare.anchor	Cuidados previos y posteriores para reducir los riesgos de la IPL
aboutPages.iplSafety.topics.beforeAfterCare.description	Pasos sencillos de cuidado previo y posterior que reducen la inflamación y ayudan a evitar problemas de pigmentación tras las sesiones.
aboutPages.iplSafety.heroKicker	Pilar de seguridad
aboutPages.iplSafety.heroTitle	Por qué la depilación IPL es segura (cuando se utiliza correctamente)
aboutPages.iplSafety.heroParagraph	Este es un centro centrado en la seguridad, creado para marcas, equipos de abastecimiento y compradores minoristas. Conecta las preguntas de seguridad más buscadas con respuestas prácticas, contexto basado en evidencia y características de diseño del dispositivo que reducen el riesgo.
aboutPages.iplSafety.howToKicker	Cómo usar esta página
aboutPages.iplSafety.howToTitle	Lee en el mismo orden que tus compradores
aboutPages.iplSafety.howToSteps[0]	Empiece por la evidencia y el contexto de la FDA para fundamentar de forma responsable la afirmación de «seguro».
aboutPages.iplSafety.howToSteps[1]	Confirme los límites por tipo de piel y el protocolo que mantiene el riesgo bajo para el uso doméstico.
aboutPages.iplSafety.howToSteps[2]	A continuación, preseleccione plataformas en Productos y compare modelos en Catálogo.
aboutPages.iplSafety.topicMapKicker	Mapa de temas
aboutPages.iplSafety.topicMapTitle	10 temas de seguridad (enlaces profundos)
aboutPages.iplSafety.topicMapParagraph	Cada tema siguiente enlaza con una guía dedicada. Utiliza estos anclajes exactos en las páginas de apoyo para reforzar la relevancia.
aboutPages.iplSafety.guideLabel	Guía
aboutPages.iplSafety.pillarKicker	Secciones del pilar
aboutPages.iplSafety.pillarTitle	Evidencia + protocolo + diseño del dispositivo
aboutPages.iplSafety.pillarParagraph	Utiliza esta estructura como página de respuesta de formato extenso y las guías enlazadas como contenido de clúster que la respalde.
aboutPages.iplSafety.readGuide	Leer la guía
aboutPages.iplSafety.finalKicker	¿Listo para preseleccionar un modelo?
aboutPages.iplSafety.finalTitle	Compare todas las plataformas y elige la combinación de seguridad adecuada
aboutPages.iplSafety.finalParagraph	Utiliza la página de Productos para consultar los detalles de las plataformas y el Catálogo para comparar la refrigeración, el control mediante aplicación y la detección de seguridad entre modelos.
auxPages.marketplace.pageTitle	iShine Marketplace | Plataforma de comercio de activos creativos digitales
auxPages.marketplace.pageDescription	iShine Marketplace es una plataforma de confianza para el comercio de activos creativos digitales donde los creadores muestran, comercializan y hacen crecer tus obras digitales, con servicios y soporte para creadores basados en la convicción: ilumina la creatividad, conecta el valor.
auxPages.marketplace.brandSlogan	Ilumina la creatividad, conecta el valor
auxPages.marketplace.contactCta	Contacta con iShine
auxPages.marketplace.detailsCta	Detalles
auxPages.marketplace.hero.smallTitle	iShine Marketplace | Activos creativos digitales
auxPages.marketplace.hero.heading	Tu plataforma de confianza para el comercio de activos creativos digitales
auxPages.marketplace.hero.subheading	Muestre tus obras digitales, comercie con confianza y crezca con los servicios para creadores, todo en un único mercado de confianza.
auxPages.marketplace.product1.imageAlt	Exposición de obras digitales: galería de activos creativos
auxPages.marketplace.product1.smallTitle	Exposición de obras digitales
auxPages.marketplace.product1.heading	Exhiba tus creaciones digitales
auxPages.marketplace.product1.description	Publique y presente tus obras digitales (plantillas, diseños, ilustraciones y mucho más) en una galería magníficamente organizada que facilita que los compradores descubran tus creaciones.
auxPages.marketplace.product2.imageAlt	Comercio seguro: transacciones de activos digitales
auxPages.marketplace.product2.smallTitle	Comercio digital seguro
auxPages.marketplace.product2.heading	Comercie activos digitales con confianza
auxPages.marketplace.product2.description	Compre y venda activos digitales mediante un flujo de transacción claro y seguro, con licencias transparentes, entrega instantánea y pagos protegidos.
auxPages.marketplace.product3.imageAlt	Servicios para creadores: herramientas de análisis y crecimiento
auxPages.marketplace.product3.smallTitle	Servicios para creadores
auxPages.marketplace.product3.heading	Haga crecer tu negocio creativo
auxPages.marketplace.product3.description	Desde herramientas de portafolio hasta análisis para vendedores, iShine Marketplace ofrece a los creadores los servicios y el soporte que necesitan para llegar a nuevas audiencias y escalar de forma sostenible.
auxPages.marketplace.cta.smallTitle	iShine Marketplace | Servicios oficiales
auxPages.marketplace.cta.headingLine1	Habla con el equipo de servicio de iShine
auxPages.marketplace.cta.headingLine2	sobre tu
auxPages.marketplace.cta.headingLine3	objetivos
auxPages.marketplace.cta.links.privateLabel	Marca privada
auxPages.marketplace.cta.links.technologyPartner	Encuentra un socio tecnológico de IPL
auxPages.marketplace.cta.links.buildNewIpl	Crea una nueva IPL
auxPages.marketplace.cta.links.maintainOrFixIpl	Mantenga o repare mi IPL
auxPages.marketplace.blog.smallTitle	aprende con nosotros
auxPages.marketplace.blog.heading	Comunidad de creadores
auxPages.marketplace.blog.subheading	Artículos útiles sobre creatividad digital, operaciones en el marketplace y el crecimiento de tu negocio con iShine Marketplace.
auxPages.marketplace.blog.learnCta	Aprender
auxPages.marketplace.blog.card1.title	Depiladoras IPL inteligentes: la revolución conectada a la aplicación
auxPages.marketplace.blog.card1.readTime	5 min de lectura
auxPages.marketplace.blog.card2.title	Últimos avances en la investigación de IPL
auxPages.marketplace.blog.card2.readTime	4 min de lectura
auxPages.marketplace.blog.card3.title	OEM frente a ODM: cómo elegir el modelo de fabricación adecuado
auxPages.marketplace.blog.card3.readTime	6 min de lectura
auxPages.faq.pageTitle	FAQ | Fabricación de IPL iShine
auxPages.faq.pageDescription	obtén respuestas sobre los servicios OEM y ODM, el cumplimiento normativo, el MOQ, los plazos de entrega, el embalaje, el envío y el uso de los productos IPL para programas de dispositivos de belleza de marca privada.
auxPages.faq.hero.smallTitle	FAQ y soporte
auxPages.faq.hero.heading	Respuestas sobre OEM, ODM, cumplimiento normativo y planificación de productos IPL
auxPages.faq.hero.description	Esta sección de FAQ está diseñada como un auténtico centro de soporte para compradores, marcas de etiqueta privada y equipos de aprovisionamiento. Centraliza las preguntas que suelen surgir antes de las solicitudes de muestras, la elaboración de presupuestos, la personalización y la planificación de la producción.
auxPages.faq.quickNav.title	Navegación rápida
auxPages.faq.quickNav.heading	Explorar por tema
auxPages.faq.quickNav.description	Comienza con la categoría más cercana a tu etapa de compra. Cada sección agrupa las preguntas relacionadas para que los equipos puedan pasar de la evaluación general a la planificación del lanzamiento.
auxPages.faq.categoryLabel	Categoría
auxPages.faq.qsSuffix	preguntas
auxPages.faq.faqCategoryLabel	Categoría de FAQ
auxPages.faq.answersSuffix	respuestas
auxPages.faq.faqTypes.manufacturing.title	FAQ de fabricación
auxPages.faq.faqTypes.manufacturing.description	Aclara los modelos de fabricación, las expectativas de volumen, el soporte de cumplimiento normativo y la planificación del lanzamiento antes de la etapa de presupuesto.
auxPages.faq.faqTypes.commercial.title	FAQ comercial
auxPages.faq.faqTypes.commercial.description	Abarca las solicitudes de muestras, el embalaje, la planificación de la exportación y las cuestiones operativas que suelen afectar a la rapidez de llegada al mercado.
auxPages.faq.faqTypes.product.title	FAQ de producto
auxPages.faq.faqTypes.product.description	Incluye conceptos básicos de IPL y preguntas sobre el producto que ayudan a los compradores a convertir las decisiones técnicas en una propuesta de marca más clara.
auxPages.faq.cta.smallTitle	¿Necesitas una respuesta específica para tu proyecto?
auxPages.faq.cta.heading	Habla con el equipo sobre tu mercado, tus cantidades y tus objetivos de personalización
auxPages.faq.cta.description	Si tu pregunta depende del alcance de la certificación, las necesidades de embalaje, los plazos de entrega o la configuración del producto, el mejor siguiente paso es una conversación directa. Podemos revisar tu briefing y recomendarle una vía práctica para avanzar.
auxPages.faq.cta.contactTeam	Contacta con nuestro equipo
auxPages.faq.cta.viewProducts	Ver productos
auxPages.faq.cta.learnServices	Conoce nuestros servicios
auxPages.faq.supportLinks.contactTeam	Contacta con nuestro equipo
auxPages.faq.supportLinks.viewProducts	Ver productos
auxPages.faq.supportLinks.learnServices	Conoce nuestros servicios
auxPages.faq.supportLinks.emailUs	Envíanos un correo
auxPages.faq.decisionCards.0.label	Ideal para
auxPages.faq.decisionCards.0.title	Propietarios de marcas y equipos de aprovisionamiento
auxPages.faq.decisionCards.0.description	Diseñada para equipos que comparan opciones OEM y ODM, evalúan proveedores o preparan el lanzamiento de una IPL de marca privada.
auxPages.faq.decisionCards.1.label	Lo más preguntado
auxPages.faq.decisionCards.1.title	MOQ, plazo de entrega, cumplimiento normativo
auxPages.faq.decisionCards.1.description	La página destaca las preguntas que suelen frenar el avance del proyecto: plazos, certificaciones, embalaje y preparación para el lanzamiento.
auxPages.faq.decisionCards.2.label	Vía de respuesta
auxPages.faq.decisionCards.2.title	Habla con un especialista
auxPages.faq.decisionCards.2.description	Si la respuesta depende del proyecto, contacta directamente para que el equipo pueda revisar tu mercado, tus cantidades y tus necesidades de personalización.
auxPages.faq.linkLabels.exploreServices	Explorar servicios
auxPages.faq.linkLabels.compareIplModels	Comparar modelos de IPL
auxPages.faq.linkLabels.viewProducts	Ver productos
auxPages.faq.linkLabels.contactOurTeam	Contacta con nuestro equipo
auxPages.faq.linkLabels.oemOdmOverview	Resumen de OEM / ODM
auxPages.faq.linkLabels.startWithNoMoq	Empieza sin MOQ
auxPages.faq.linkLabels.productDesign	Diseño de producto
auxPages.faq.linkLabels.packagingLogistics	Embalaje y logística
auxPages.faq.linkLabels.getQuote	Solicitar presupuesto
auxPages.faq.linkLabels.compareModelsInCatalogue	Comparar modelos del catálogo
auxPages.faq.linkLabels.brandingServices	Servicios de branding
auxPages.faq.linkLabels.userManualCustomization	Personalización del manual de usuario
auxPages.faq.linkLabels.fitzpatrickSafetyGuide	Guía de seguridad de Fitzpatrick
auxPages.faq.linkLabels.qualityControl	Control de calidad
auxPages.faq.linkLabels.manufacturingCapabilities	Capacidades de fabricación
auxPages.faq.linkLabels.companyProfile	Perfil de la empresa
auxPages.faq.linkLabels.talkToSpecialist	Habla con un especialista
auxPages.faq.linkLabels.requestSample	Solicitar una muestra
auxPages.faq.linkLabels.dropshipping	Dropshipping
auxPages.faq.linkLabels.productionAssembly	Producción y montaje
auxPages.faq.linkLabels.compareModels	Comparar modelos
auxPages.faq.linkLabels.oemOdmServices	Servicios OEM / ODM
auxPages.faq.linkLabels.viewClients	Ver clientes
auxPages.faq.linkLabels.browseProducts	Explorar productos
auxPages.faq.linkLabels.learnAboutOemOdm	Infórmate sobre OEM/ODM
auxPages.faq.linkLabels.logoPrinting	Impresión de logotipos
auxPages.faq.linkLabels.boxCustomization	Personalización de la caja
auxPages.faq.linkLabels.userManualCustom	Manual de usuario personalizado
auxPages.faq.linkLabels.exploreProducts	Explorar productos
auxPages.faq.linkLabels.seeCoolingModelsInCatalogue	Ver modelos con refrigeración en el catálogo
auxPages.faq.linkLabels.readFitzpatrickSkinTypesGuide	Leer la guía de tipos de piel de Fitzpatrick
auxPages.faq.linkLabels.browseIplDevices	Explorar depiladoras IPL
auxPages.faq.linkLabels.contactForMarketRequirements	Contactar para requisitos de mercado
auxPages.faq.linkLabels.startComplianceDiscussion	Iniciar una consulta sobre cumplimiento normativo
auxPages.faq.linkLabels.contactSupport	Contacta con soporte
auxPages.faq.linkLabels.shippingExportPlanning	Planificación de envíos y exportación
auxPages.faq.linkLabels.productDesignService	Servicio de diseño de producto
auxPages.faq.linkLabels.learnAboutServices	Conoce nuestros servicios
auxPages.faq.linkLabels.emailUs	Envíanos un correo
auxPages.faq.categories.generalAboutIshine.title	Información general sobre iShine
auxPages.faq.categories.generalAboutIshine.description	Respuestas de alto nivel para equipos de aprovisionamiento, fundadores de marcas y compradores minoristas que evalúan a iShine como socio de fabricación.
auxPages.faq.categories.generalAboutIshine.faqs.whatDoesIShineSpecializeIn.question	¿En qué se especializa iShine?
auxPages.faq.categories.generalAboutIshine.faqs.whatDoesIShineSpecializeIn.answer	iShine se especializa en la fabricación OEM y ODM de dispositivos de belleza IPL, con capacidades que abarcan el desarrollo de conceptos, la ingeniería, la producción, el embalaje y el soporte de exportación para marcas de belleza de todo el mundo.
auxPages.faq.categories.generalAboutIshine.faqs.whoDoYouWorkWith.question	¿Con quién trabaja normalmente?
auxPages.faq.categories.generalAboutIshine.faqs.whoDoYouWorkWith.answer	Apoyamos habitualmente a marcas de belleza, startups de marca privada, distribuidores, equipos de aprovisionamiento, minoristas y equipos de expansión de mercado que necesitan un desarrollo de productos IPL y un soporte de fabricación fiables.
auxPages.faq.categories.generalAboutIshine.faqs.consumerAndProfessionalLines.question	¿Ofrecen soporte tanto para líneas de producto de consumo como profesionales?
auxPages.faq.categories.generalAboutIshine.faqs.consumerAndProfessionalLines.answer	Sí. Fabricamos depiladoras IPL de uso doméstico, sistemas orientados a salones de belleza y familias de productos configurables que pueden adaptarse a distintos posicionamientos, canales y requisitos de mercado.
auxPages.faq.categories.generalAboutIshine.faqs.longTermPartnershipFit.question	¿Qué hace de iShine un socio adecuado para asociaciones de fabricación a largo plazo?
auxPages.faq.categories.generalAboutIshine.faqs.longTermPartnershipFit.answer	Nuestro valor reside en combinar ingeniería, sistemas de calidad, ejecución de fabricación y coordinación de exportación en un único flujo de trabajo, lo que ayuda a las marcas a reducir el riesgo de traspaso y a escalar de forma más predecible.
auxPages.faq.categories.oemOdmServices.title	Servicios OEM / ODM
auxPages.faq.categories.oemOdmServices.description	Preguntas sobre los modelos de fabricación, el alcance de la personalización y la configuración de proyectos para programas de dispositivos de marca.
auxPages.faq.categories.oemOdmServices.faqs.oemVsOdm.question	¿Cuál es la diferencia entre los servicios OEM y ODM?
auxPages.faq.categories.oemOdmServices.faqs.oemVsOdm.answer	OEM (Original Equipment Manufacturing) significa que fabricamos productos según tus especificaciones de diseño exactas. ODM (Original Design Manufacturing) significa que ofrecemos tanto el diseño como la fabricación: puedes seleccionar entre nuestros diseños existentes y personalizarlos con tu marca. Ambas opciones ofrecen personalización total del embalaje, los colores y las funciones.
auxPages.faq.categories.oemOdmServices.faqs.minimumOrderQuantity.question	¿Cuál es la cantidad mínima de pedido (MOQ)?
auxPages.faq.categories.oemOdmServices.faqs.minimumOrderQuantity.answer	Nuestro MOQ estándar comienza en 500 unidades para la mayoría de los productos. Para marcas en fase inicial o programas piloto, podemos estudiar pedidos de muestra, pruebas de validación o planes de lanzamiento por fases según el alcance del proyecto.
auxPages.faq.categories.oemOdmServices.faqs.customizeDesignAndFeatures.question	¿Pueden personalizar el diseño y las funciones del dispositivo?
auxPages.faq.categories.oemOdmServices.faqs.customizeDesignAndFeatures.answer	Por supuesto. Ofrecemos personalización completa que incluye diseño industrial, combinaciones de colores, impresión de logotipos, embalaje personalizado, modificaciones de firmware, integración con aplicaciones y personalización de funciones como niveles de energía, modos de destello y sistemas de refrigeración. Nuestro equipo de I+D trabaja estrechamente con usted para hacer realidad tu visión.
auxPages.faq.categories.oemOdmServices.faqs.conceptToDeliveryTimeline.question	¿Cuánto tarda el proceso OEM/ODM desde el concepto hasta la entrega?
auxPages.faq.categories.oemOdmServices.faqs.conceptToDeliveryTimeline.answer	Los plazos habituales oscilan entre 8 y 16 semanas según el nivel de personalización. Los proyectos de marca sencillos pueden avanzar más rápido, mientras que los proyectos que implican cambios de diseño industrial, utillaje, electrónica, firmware o trabajo de cumplimiento normativo requieren un calendario más largo.
auxPages.faq.categories.productCustomization.title	Personalización de productos y conceptos básicos de IPL
auxPages.faq.categories.productCustomization.description	Respuestas prácticas sobre funciones, posicionamiento del tratamiento y formación sobre el uso del producto que respaldan tanto las ventas como la preparación para el lanzamiento.
auxPages.faq.categories.productCustomization.faqs.typesOfIplDevices.question	¿Qué tipos de depiladoras IPL fabrica iShine?
auxPages.faq.categories.productCustomization.faqs.typesOfIplDevices.answer	Fabricamos depiladoras IPL para depilación, rejuvenecimiento de la piel y cuidado del acné. Los programas pueden ir desde modelos listos para personalizar con tu marca hasta plataformas de producto de marca privada más personalizadas.
auxPages.faq.categories.productCustomization.faqs.sapphireCoolingVsStandard.question	¿Cuál es la diferencia entre la refrigeración de zafiro y los sistemas IPL estándar?
auxPages.faq.categories.productCustomization.faqs.sapphireCoolingVsStandard.answer	La refrigeración de zafiro ayuda a gestionar el confort del contacto con la piel durante el tratamiento y puede mejorar la experiencia percibida por el usuario. Las plataformas IPL estándar también pueden ofrecer un buen rendimiento, pero los sistemas basados en zafiro suelen elegirse por tu posicionamiento premium y un marketing centrado en el confort.
auxPages.faq.categories.productCustomization.faqs.suitableForAllSkinTones.question	¿Tus depiladoras IPL son adecuados para todos los tonos de piel?
auxPages.faq.categories.productCustomization.faqs.suitableForAllSkinTones.answer	La mayoría de los modelos son adecuados para los fototipos de piel Fitzpatrick I-V, según la configuración de la depiladora y los ajustes de seguridad. La compatibilidad siempre debe confirmarse a nivel de producto antes de realizar afirmaciones de lanzamiento o de desplegar el producto en el mercado.
auxPages.faq.categories.productCustomization.faqs.shapeProductStory.question	¿Pueden ayudarnos a definir la historia de producto para nuestro mercado?
auxPages.faq.categories.productCustomization.faqs.shapeProductStory.answer	Sí. Podemos apoyar los debates de posicionamiento en torno a los conjuntos de funciones, el confort del usuario, las zonas de tratamiento, la orientación del embalaje y la documentación, de modo que el producto final se alinee con tu cliente objetivo y las expectativas del canal.
auxPages.faq.categories.iplEducationSafety.title	Educación sobre IPL y seguridad (preguntas frecuentes del consumidor)
auxPages.faq.categories.iplEducationSafety.description	Preguntas dirigidas al cliente sobre cómo funciona la IPL, los patrones de uso habituales, el confort y las precauciones de seguridad. Útil para páginas de preguntas frecuentes, manuales y contenido de soporte listo para el lanzamiento.
auxPages.faq.categories.iplEducationSafety.faqs.whatIsIpl.question	¿Qué es la IPL y cómo reduce el crecimiento del vello una depiladora IPL?
auxPages.faq.categories.iplEducationSafety.faqs.whatIsIpl.answer	IPL significa Luz Pulsada Intensa (Intense Pulsed Light). El dispositivo emite pulsos de luz filtrada que son absorbidos por el pigmento del vello. Esa energía se convierte en calor cerca del folículo, lo que puede reducir el recrecimiento del vello tras sesiones repetidas. Con un uso constante, muchos usuarios observan un recrecimiento más lento y un vello más fino con el tiempo.
auxPages.faq.categories.iplEducationSafety.faqs.isIplSafe.question	¿Es seguro el IPL para la depilación? ¿Puede causar cáncer?
auxPages.faq.categories.iplEducationSafety.faqs.isIplSafe.answer	La IPL se utiliza ampliamente para la reducción del vello tanto en entornos domésticos como profesionales. Los dispositivos estándar de depilación IPL usan luz filtrada y están diseñados para minimizar la exposición a los rayos UV; no hay evidencia sólida de que una depilación IPL utilizada correctamente cause cáncer. Por seguridad, sigue las instrucciones, evita tratar piel irritada o con heridas y consulta a un profesional sanitario si padeces alguna afección médica o tomas medicación fotosensibilizante.
auxPages.faq.categories.iplEducationSafety.faqs.doesIplHurt.question	¿Duele el tratamiento con IPL?
auxPages.faq.categories.iplEducationSafety.faqs.doesIplHurt.answer	La mayoría de los usuarios describen la IPL como un rápido chasquido cálido más que como dolor. Los ajustes de energía más altos pueden sentirse con más intensidad en zonas sensibles. Comienza con una intensidad baja, prueba en una pequeña zona y aumente gradualmente solo si tu piel tolera el tratamiento con comodidad.
auxPages.faq.categories.iplEducationSafety.faqs.whenWillISeeResults.question	¿Cuándo veré resultados y es la IPL permanente?
auxPages.faq.categories.iplEducationSafety.faqs.whenWillISeeResults.answer	Muchas personas notan una reducción del recrecimiento tras unas pocas sesiones, con resultados más evidentes después de un ciclo completo (normalmente unas 12 sesiones semanales). La IPL suele describirse como una reducción del vello a largo plazo más que como una depilación permanente. Pueden ser necesarias sesiones de mantenimiento según el tipo de vello, las hormonas y la zona tratada.
auxPages.faq.categories.iplEducationSafety.faqs.whereOnBody.question	¿En qué partes del cuerpo puedo usar una depiladora IPL?
auxPages.faq.categories.iplEducationSafety.faqs.whereOnBody.answer	La IPL se usa habitualmente en piernas, brazos, axilas, línea del bikini y algunas zonas del rostro. Evita tratar por encima de los pómulos y las zonas íntimas internas (incluido el tejido mucoso). Para zonas sensibles como la línea del bikini y la parte interna de los muslos, utiliza un nivel de intensidad más bajo y sigue las instrucciones de la depiladora.
auxPages.faq.categories.iplEducationSafety.faqs.howOften.question	¿Con qué frecuencia debo usar la IPL?
auxPages.faq.categories.iplEducationSafety.faqs.howOften.answer	Un programa habitual es una vez por semana durante 12 semanas consecutivas. Algunas rutinas permiten hasta dos veces por semana al principio, pero debes seguir las instrucciones de la configuración específica de tu depiladora. Tras el ciclo inicial, muchos usuarios realizan sesiones de mantenimiento cada 4–12 semanas según sea necesario.
auxPages.faq.categories.iplEducationSafety.faqs.skinToneAndHairColor.question	¿Funciona la IPL con mi tono de piel y color de vello?
auxPages.faq.categories.iplEducationSafety.faqs.skinToneAndHairColor.answer	La IPL funciona mejor cuando hay contraste entre el pigmento del vello y el tono de piel, porque la luz se dirige a la melanina del vello. Puede ser menos eficaz en vello rubio muy claro, pelirrojo o gris. La piel muy oscura o recientemente bronceada puede conllevar un mayor riesgo de quemaduras. sigue siempre la tabla de compatibilidad de tonos de piel y las indicaciones correspondientes a la configuración específica de la depiladora.
auxPages.faq.categories.iplEducationSafety.faqs.voltageAndPlug.question	¿Funcionará una depiladora IPL en mi país (voltaje y tipo de enchufe)?
auxPages.faq.categories.iplEducationSafety.faqs.voltageAndPlug.answer	La mayoría de las depiladoras IPL modernas están diseñadas para uso mundial con fuentes de alimentación de doble voltaje (comúnmente 110V–240V). Los tipos de enchufe y adaptadores dependen del país de destino y de la configuración final del embalaje. Confirma la especificación exacta de alimentación y el tipo de enchufe incluido para el modelo que planea lanzar.
auxPages.faq.categories.iplEducationSafety.faqs.shaveBeforeUse.question	¿Necesito afeitarme antes de usar la IPL? ¿Qué otros métodos de depilación son compatibles?
auxPages.faq.categories.iplEducationSafety.faqs.shaveBeforeUse.answer	Normalmente se recomienda afeitarse porque mantiene el vello corto en la superficie y deja la raíz disponible para que la luz actúe sobre ella. La cera o la pinza eliminan el vello de raíz y pueden reducir la eficacia durante el ciclo de tratamiento. Si trata zonas faciales, sigue las indicaciones de la depiladora; algunos usuarios optan por una dermaplaning suave antes.
auxPages.faq.categories.iplEducationSafety.faqs.howToClean.question	¿Cómo limpio una depiladora IPL?
auxPages.faq.categories.iplEducationSafety.faqs.howToClean.answer	Desconecta el dispositivo de la corriente antes de limpiarlo. Limpia la superficie con un paño limpio y seco y alcohol isopropílico al 70 %. Evita la acetona o los limpiadores abrasivos y nunca sumerjas el dispositivo ni ninguna de tus piezas en agua.
auxPages.faq.categories.iplEducationSafety.faqs.whatIsLampMadeOf.question	¿De qué está hecha la lámpara de IPL?
auxPages.faq.categories.iplEducationSafety.faqs.whatIsLampMadeOf.answer	Muchas depiladoras IPL utilizan un tubo de lámpara de destello de xenón con filtrado óptico para reducir longitudes de onda no deseadas como los rayos UV. La construcción de la lámpara y el diseño del filtro varían según el modelo y la configuración.
auxPages.faq.categories.iplEducationSafety.faqs.ageToStart.question	¿A partir de qué edad puedo empezar el tratamiento con IPL?
auxPages.faq.categories.iplEducationSafety.faqs.ageToStart.answer	Muchas marcas recomiendan la IPL para usuarios a partir de 16 años, ya que la madurez del crecimiento del vello suele desarrollarse en torno a esa edad. Cualquier persona menor de 18 años debe usar la IPL solo con la supervisión de tus padres y el asesoramiento de un profesional.
auxPages.faq.categories.iplEducationSafety.faqs.eyeProtection.question	¿Necesito protección ocular al usar la IPL?
auxPages.faq.categories.iplEducationSafety.faqs.eyeProtection.answer	Muchos dispositivos cuentan con sensores de contacto con la piel y no emiten destellos a menos que la ventana de tratamiento esté presionada contra la piel. Aun así, evite mirar fijamente el destello y considera el uso de gafas protectoras si es sensible a la luz brillante.
auxPages.faq.categories.iplEducationSafety.faqs.pregnantOrBreastfeeding.question	¿Es seguro usar la IPL durante el embarazo o la lactancia?
auxPages.faq.categories.iplEducationSafety.faqs.pregnantOrBreastfeeding.answer	Existe poca investigación directa sobre el uso doméstico de la IPL durante el embarazo o la lactancia. Como precaución, muchas marcas recomiendan evitar la IPL durante el embarazo y la lactancia. Si tienes dudas, consulta a tu profesional sanitario.
auxPages.faq.categories.iplEducationSafety.faqs.frecklesMolesTattoos.question	¿Es seguro aplicar la IPL sobre pecas, lunares o tatuajes?
auxPages.faq.categories.iplEducationSafety.faqs.frecklesMolesTattoos.answer	Evita tratar directamente sobre lunares oscuros, pecas muy oscuras o tatuajes, porque el pigmento más oscuro puede absorber más energía y aumentar el riesgo de quemaduras. Si deseas tratar zonas cercanas a estos puntos, trata alrededor de ellos y sigue las indicaciones de la depiladora.
auxPages.faq.categories.iplEducationSafety.faqs.beforeOrAfterTanning.question	¿Puedo usar la IPL antes o después de broncearme?
auxPages.faq.categories.iplEducationSafety.faqs.beforeOrAfterTanning.answer	Si se ha bronceado recientemente, espera unas dos semanas antes de usar la IPL. Tras la IPL, muchas pautas recomiendan evitar la exposición solar intensa durante al menos 48 horas. sigue siempre las instrucciones de tu depiladora y tu sensibilidad cutánea.
auxPages.faq.categories.iplEducationSafety.faqs.hurtsOrBurning.question	El uso de la IPL duele o produce una sensación de quemazón. ¿Qué debo hacer?
auxPages.faq.categories.iplEducationSafety.faqs.hurtsOrBurning.answer	Detén la sesión y reduce la intensidad la próxima vez. Las causas habituales de molestias incluyen exposición solar reciente, tratar piel demasiado oscura para el ajuste, usar una intensidad demasiado alta, no afeitarse antes, presionar con demasiada fuerza, repetir destellos en la misma zona o usar lociones/geles que no están recomendados. Si el dolor persiste o sospechas de un fallo de la depiladora, deja de usarla y busca asistencia.
auxPages.faq.categories.iplEducationSafety.faqs.flashModes.question	¿Qué modos de destello suelen estar disponibles en las depiladoras IPL?
