common.breadcrumb	Breadcrumb
aboutPages.iplSafety.topics.uvFiltering.title	UV filtering & wavelength control (why IPL is not UV tanning)
aboutPages.iplSafety.topics.uvFiltering.anchor	UV filtering & wavelength control
aboutPages.iplSafety.topics.uvFiltering.description	How filters and wavelength design reduce unwanted radiation and improve safety margins during treatment.
aboutPages.iplSafety.topics.safetySensors.title	Safety sensors: skin tone detection & contact sensors
aboutPages.iplSafety.topics.safetySensors.anchor	Safety sensors (skin tone detection & contact sensors)
aboutPages.iplSafety.topics.safetySensors.description	How skin tone sensing and contact interlocks reduce misuse risk—especially in higher Fitzpatrick skin types.
aboutPages.iplSafety.topics.sideEffects.title	IPL side effects explained (what's normal vs not)
aboutPages.iplSafety.topics.sideEffects.anchor	IPL side effects explained (what's normal vs not)
aboutPages.iplSafety.topics.sideEffects.description	What mild redness means, what burns look like, and the decision tree for pausing, lowering settings, or seeking help.
aboutPages.iplSafety.topics.contraindications.title	Who should not use IPL (contraindications & risk factors)
aboutPages.iplSafety.topics.contraindications.anchor	Who should not use IPL (contraindications)
aboutPages.iplSafety.topics.contraindications.description	Medication, sun exposure, tattoos, skin conditions, and other situations where IPL should be avoided or delayed.
aboutPages.iplSafety.topics.beforeAfterCare.title	Before/after care: how to reduce irritation and risk
aboutPages.iplSafety.topics.beforeAfterCare.anchor	Before/after care to reduce IPL risks
aboutPages.iplSafety.topics.beforeAfterCare.description	Simple pre- and post-care steps that lower inflammation and help avoid pigment issues after sessions.
aboutPages.iplSafety.heroKicker	Safety Pillar
aboutPages.iplSafety.heroTitle	Why IPL hair removal is safe (when used correctly)
aboutPages.iplSafety.heroParagraph	This is a safety-first hub built for brands, sourcing teams, and retail buyers. It links the most searched safety questions to practical answers, evidence-based context, and device design features that reduce risk.
aboutPages.iplSafety.howToKicker	How to Use This Page
aboutPages.iplSafety.howToTitle	Read in the same order your buyers do
aboutPages.iplSafety.howToSteps[0]	Start with evidence and FDA context to ground the "safe" claim responsibly.
aboutPages.iplSafety.howToSteps[1]	Confirm skin-type limits and the protocol that keeps risk low for home use.
aboutPages.iplSafety.howToSteps[2]	Then shortlist platforms in Products and compare models in Catalogue.
aboutPages.iplSafety.topicMapKicker	Topic Map
aboutPages.iplSafety.topicMapTitle	10 safety topics (deep links)
aboutPages.iplSafety.topicMapParagraph	Each topic below links to a dedicated guide. Use these exact anchors on supporting pages to reinforce relevance.
aboutPages.iplSafety.guideLabel	Guide
aboutPages.iplSafety.pillarKicker	Pillar Sections
aboutPages.iplSafety.pillarTitle	Evidence + protocol + device design
aboutPages.iplSafety.pillarParagraph	Use this structure as the long-form answer page, and the linked guides as cluster content that supports it.
aboutPages.iplSafety.readGuide	Read the guide
aboutPages.iplSafety.finalKicker	Ready to shortlist a model?
aboutPages.iplSafety.finalTitle	Compare all platforms, then pick the right safety stack
aboutPages.iplSafety.finalParagraph	Use the Products page to open platform details and the Catalogue to compare cooling, app control, and safety sensing across models.
auxPages.marketplace.pageTitle	iShine Marketplace | Digital Creative Asset Trading Platform
auxPages.marketplace.pageDescription	iShine Marketplace is a trusted digital creative asset trading platform where creators showcase, trade and grow their digital works — with creator services and support built around the belief: Light up creativity, link value.
auxPages.marketplace.brandSlogan	Light Up Creativity, Link Value
auxPages.marketplace.contactCta	Contact iShine
auxPages.marketplace.detailsCta	Details
auxPages.marketplace.hero.smallTitle	iShine Marketplace | Digital Creative Assets
auxPages.marketplace.hero.heading	Your Trusted Digital Creative Asset Trading Platform
auxPages.marketplace.hero.subheading	Showcase your digital works, trade with confidence, and grow with creator services — all in one trusted marketplace.
auxPages.marketplace.product1.imageAlt	Digital Works Showcase - creative asset gallery
auxPages.marketplace.product1.smallTitle	Digital Works Showcase
auxPages.marketplace.product1.heading	Showcase Your Digital Creations
auxPages.marketplace.product1.description	Publish and present your digital works — templates, designs, illustrations and more — in a beautifully organised gallery that makes it easy for buyers to discover your creations.
auxPages.marketplace.product2.imageAlt	Secure Trading - digital asset transactions
auxPages.marketplace.product2.smallTitle	Secure Digital Trading
auxPages.marketplace.product2.heading	Trade Digital Assets With Confidence
auxPages.marketplace.product2.description	Buy and sell digital assets through a clear, secure transaction flow with transparent licensing, instant delivery and protected payments.
auxPages.marketplace.product3.imageAlt	Creator Services - analytics and growth tools
auxPages.marketplace.product3.smallTitle	Creator Services
auxPages.marketplace.product3.heading	Grow Your Creative Business
auxPages.marketplace.product3.description	From portfolio tools to seller analytics, iShine Marketplace provides creators with the services and support they need to reach new audiences and scale sustainably.
auxPages.marketplace.cta.smallTitle	iShine Marketplace | Official Services
auxPages.marketplace.cta.headingLine1	Talk to our iShine service
auxPages.marketplace.cta.headingLine2	team about your
auxPages.marketplace.cta.headingLine3	goals
auxPages.marketplace.cta.links.privateLabel	Private Label
auxPages.marketplace.cta.links.technologyPartner	Find a IPL Technology Partner
auxPages.marketplace.cta.links.buildNewIpl	Build a New IPL
auxPages.marketplace.cta.links.maintainOrFixIpl	Maintain or Fix My IPL
auxPages.marketplace.blog.smallTitle	Learn with us
auxPages.marketplace.blog.heading	Creator community
auxPages.marketplace.blog.subheading	Useful articles about digital creativity, marketplace trading and growing your business with iShine Marketplace.
auxPages.marketplace.blog.learnCta	Learn
auxPages.marketplace.blog.card1.title	Smart IPL Devices: The App-Connected Revolution
auxPages.marketplace.blog.card1.readTime	5 min read
auxPages.marketplace.blog.card2.title	Latest Advances in IPL Research
auxPages.marketplace.blog.card2.readTime	4 min read
auxPages.marketplace.blog.card3.title	OEM vs ODM: Choosing the Right Manufacturing Model
auxPages.marketplace.blog.card3.readTime	6 min read
auxPages.faq.pageTitle	FAQ | iShine IPL Manufacturing
auxPages.faq.pageDescription	Get answers about OEM and ODM services, compliance, MOQ, lead time, packaging, shipping, and IPL product usage for private label beauty device programs.
auxPages.faq.hero.smallTitle	FAQ & Support
auxPages.faq.hero.heading	Answers for OEM, ODM, compliance, and IPL product planning
auxPages.faq.hero.description	This FAQ is designed as a real support destination for buyers, private label brands, and sourcing teams. It centralizes the questions that usually come up before sample requests, quoting, customization, and production planning.
auxPages.faq.quickNav.title	Quick Navigation
auxPages.faq.quickNav.heading	Browse by topic
auxPages.faq.quickNav.description	Start with the category closest to your buying stage. Each section groups related questions so teams can move from general evaluation to launch planning.
auxPages.faq.categoryLabel	Category
auxPages.faq.qsSuffix	Qs
auxPages.faq.faqCategoryLabel	FAQ Category
auxPages.faq.answersSuffix	answers
auxPages.faq.faqTypes.manufacturing.title	Manufacturing FAQ
auxPages.faq.faqTypes.manufacturing.description	Clarifies manufacturing models, volume expectations, compliance support, and launch planning before the quoting stage.
auxPages.faq.faqTypes.commercial.title	Commercial FAQ
auxPages.faq.faqTypes.commercial.description	Covers sample requests, packaging, export planning, and the operational questions that usually affect speed to market.
auxPages.faq.faqTypes.product.title	Product FAQ
auxPages.faq.faqTypes.product.description	Includes IPL basics and product-level questions that help buyers translate technical choices into a clearer brand proposition.
auxPages.faq.cta.smallTitle	Need a project-specific answer?
auxPages.faq.cta.heading	Talk to the team about your market, quantity, and customization goals
auxPages.faq.cta.description	If your question depends on certification scope, packaging needs, lead time, or product configuration, the best next step is a direct discussion. We can review your brief and recommend a practical path forward.
auxPages.faq.cta.contactTeam	Contact Our Team
auxPages.faq.cta.viewProducts	View Products
auxPages.faq.cta.learnServices	Learn About Services
auxPages.faq.supportLinks.contactTeam	Contact Our Team
auxPages.faq.supportLinks.viewProducts	View Products
auxPages.faq.supportLinks.learnServices	Learn About Services
auxPages.faq.supportLinks.emailUs	Email Us
auxPages.faq.decisionCards.0.label	Best For
auxPages.faq.decisionCards.0.title	Brand Owners & Sourcing Teams
auxPages.faq.decisionCards.0.description	Built for teams comparing OEM and ODM options, evaluating suppliers, or preparing a private label IPL launch.
auxPages.faq.decisionCards.1.label	Most Asked
auxPages.faq.decisionCards.1.title	MOQ, Lead Time, Compliance
auxPages.faq.decisionCards.1.description	The page emphasizes the questions that usually block project movement: timelines, certifications, packaging, and launch readiness.
auxPages.faq.decisionCards.2.label	Response Path
auxPages.faq.decisionCards.2.title	Talk to a Specialist
auxPages.faq.decisionCards.2.description	If the answer is project-specific, move directly to contact so the team can review your market, quantity, and customization needs.
auxPages.faq.linkLabels.exploreServices	Explore Services
auxPages.faq.linkLabels.compareIplModels	Compare IPL Models
auxPages.faq.linkLabels.viewProducts	View Products
auxPages.faq.linkLabels.contactOurTeam	Contact Our Team
auxPages.faq.linkLabels.oemOdmOverview	OEM / ODM Overview
auxPages.faq.linkLabels.startWithNoMoq	Start with No MOQ
auxPages.faq.linkLabels.productDesign	Product Design
auxPages.faq.linkLabels.packagingLogistics	Packaging & Logistics
auxPages.faq.linkLabels.getQuote	Get a Quote
auxPages.faq.linkLabels.compareModelsInCatalogue	Compare Models in Catalogue
auxPages.faq.linkLabels.brandingServices	Branding Services
auxPages.faq.linkLabels.userManualCustomization	User Manual Customization
auxPages.faq.linkLabels.fitzpatrickSafetyGuide	Fitzpatrick Safety Guide
auxPages.faq.linkLabels.qualityControl	Quality Control
auxPages.faq.linkLabels.manufacturingCapabilities	Manufacturing Capabilities
auxPages.faq.linkLabels.companyProfile	Company Profile
auxPages.faq.linkLabels.talkToSpecialist	Talk to a Specialist
auxPages.faq.linkLabels.requestSample	Request a Sample
auxPages.faq.linkLabels.dropshipping	Dropshipping
auxPages.faq.linkLabels.productionAssembly	Production & Assembly
auxPages.faq.linkLabels.compareModels	Compare Models
auxPages.faq.linkLabels.oemOdmServices	OEM / ODM Services
auxPages.faq.linkLabels.viewClients	View Clients
auxPages.faq.linkLabels.browseProducts	Browse Products
auxPages.faq.linkLabels.learnAboutOemOdm	Learn about OEM/ODM
auxPages.faq.linkLabels.logoPrinting	Logo Printing
auxPages.faq.linkLabels.boxCustomization	Box Customization
auxPages.faq.linkLabels.userManualCustom	User Manual Custom
auxPages.faq.linkLabels.exploreProducts	Explore Products
auxPages.faq.linkLabels.seeCoolingModelsInCatalogue	See Cooling Models in Catalogue
auxPages.faq.linkLabels.readFitzpatrickSkinTypesGuide	Read Fitzpatrick Skin Types Guide
auxPages.faq.linkLabels.browseIplDevices	Browse IPL Devices
auxPages.faq.linkLabels.contactForMarketRequirements	Contact for Market Requirements
auxPages.faq.linkLabels.startComplianceDiscussion	Start Compliance Discussion
auxPages.faq.linkLabels.contactSupport	Contact Support
auxPages.faq.linkLabels.shippingExportPlanning	Shipping & Export Planning
auxPages.faq.linkLabels.productDesignService	Product Design Service
auxPages.faq.linkLabels.learnAboutServices	Learn About Services
auxPages.faq.linkLabels.emailUs	Email Us
auxPages.faq.categories.generalAboutIshine.title	General About iShine
auxPages.faq.categories.generalAboutIshine.description	High-level answers for sourcing teams, brand founders, and retail buyers evaluating iShine as a manufacturing partner.
auxPages.faq.categories.generalAboutIshine.faqs.whatDoesIShineSpecializeIn.question	What does iShine specialize in?
auxPages.faq.categories.generalAboutIshine.faqs.whatDoesIShineSpecializeIn.answer	iShine specializes in OEM and ODM manufacturing for IPL beauty devices, with capabilities spanning concept development, engineering, production, packaging, and export support for global beauty brands.
auxPages.faq.categories.generalAboutIshine.faqs.whoDoYouWorkWith.question	Who do you typically work with?
auxPages.faq.categories.generalAboutIshine.faqs.whoDoYouWorkWith.answer	We commonly support beauty brands, private label startups, distributors, sourcing teams, retailers, and market expansion teams that need reliable IPL product development and manufacturing support.
auxPages.faq.categories.generalAboutIshine.faqs.consumerAndProfessionalLines.question	Do you support both consumer and professional product lines?
auxPages.faq.categories.generalAboutIshine.faqs.consumerAndProfessionalLines.answer	Yes. We manufacture home-use IPL devices, salon-oriented systems, and configurable product families that can be adapted to different positioning, channels, and market requirements.
auxPages.faq.categories.generalAboutIshine.faqs.longTermPartnershipFit.question	What makes iShine a fit for long-term manufacturing partnerships?
auxPages.faq.categories.generalAboutIshine.faqs.longTermPartnershipFit.answer	Our value is in combining engineering, quality systems, manufacturing execution, and export coordination in one workflow, which helps brands reduce handoff risk and scale more predictably.
auxPages.faq.categories.oemOdmServices.title	OEM / ODM Services
auxPages.faq.categories.oemOdmServices.description	Questions about manufacturing models, customization scope, and project setup for branded device programs.
auxPages.faq.categories.oemOdmServices.faqs.oemVsOdm.question	What is the difference between OEM and ODM services?
auxPages.faq.categories.oemOdmServices.faqs.oemVsOdm.answer	OEM (Original Equipment Manufacturing) means we manufacture products based on your exact design specifications. ODM (Original Design Manufacturing) means we provide both design and manufacturing - you can select from our existing designs and customize them with your branding. Both options offer full customization of packaging, colors, and features.
auxPages.faq.categories.oemOdmServices.faqs.minimumOrderQuantity.question	What is the minimum order quantity (MOQ)?
auxPages.faq.categories.oemOdmServices.faqs.minimumOrderQuantity.answer	Our standard MOQ starts at 500 units for most products. For early-stage brands or pilot programs, we can discuss sample orders, validation runs, or phased launch planning based on project scope.
auxPages.faq.categories.oemOdmServices.faqs.customizeDesignAndFeatures.question	Can you customize the device design and features?
auxPages.faq.categories.oemOdmServices.faqs.customizeDesignAndFeatures.answer	Absolutely. We offer full customization including industrial design, color schemes, logo printing, custom packaging, firmware modifications, app integration, and feature customization such as energy levels, flash modes, and cooling systems. Our R&D team works closely with you to bring your vision to life.
auxPages.faq.categories.oemOdmServices.faqs.conceptToDeliveryTimeline.question	How long does the OEM/ODM process take from concept to delivery?
auxPages.faq.categories.oemOdmServices.faqs.conceptToDeliveryTimeline.answer	Typical timelines range from 8-16 weeks depending on the level of customization. Simple branding projects can move faster, while projects involving industrial design changes, tooling, electronics, firmware, or compliance work require a longer schedule.
auxPages.faq.categories.productCustomization.title	Product Customization & IPL Basics
auxPages.faq.categories.productCustomization.description	Practical answers on features, treatment positioning, and product-use education that supports both sales and launch readiness.
auxPages.faq.categories.productCustomization.faqs.typesOfIplDevices.question	What types of IPL devices does iShine manufacture?
auxPages.faq.categories.productCustomization.faqs.typesOfIplDevices.answer	We manufacture IPL devices for hair removal, skin rejuvenation, and acne-care positioning. Programs can range from ready-to-brand models to more customized private label product platforms.
auxPages.faq.categories.productCustomization.faqs.sapphireCoolingVsStandard.question	What is the difference between sapphire cooling and standard IPL systems?
auxPages.faq.categories.productCustomization.faqs.sapphireCoolingVsStandard.answer	Sapphire cooling helps manage skin-contact comfort during treatment and can improve the perceived user experience. Standard IPL platforms may offer strong performance as well, but sapphire-based systems are often chosen for premium positioning and comfort-led marketing.
auxPages.faq.categories.productCustomization.faqs.suitableForAllSkinTones.question	Are your IPL devices suitable for all skin tones?
auxPages.faq.categories.productCustomization.faqs.suitableForAllSkinTones.answer	Most models are suitable for Fitzpatrick skin types I-V, depending on device configuration and safety settings. Compatibility should always be confirmed at the product level before launch claims or market rollout.
auxPages.faq.categories.productCustomization.faqs.shapeProductStory.question	Can you help us shape the product story for our market?
auxPages.faq.categories.productCustomization.faqs.shapeProductStory.answer	Yes. We can support positioning discussions around feature sets, user comfort, treatment areas, packaging direction, and documentation so the final product aligns with your target customer and channel expectations.
auxPages.faq.categories.iplEducationSafety.title	IPL Education & Safety (Consumer FAQs)
auxPages.faq.categories.iplEducationSafety.description	Customer-facing questions about how IPL works, typical usage patterns, comfort, and safety precautions. Useful for FAQ pages, manuals, and launch-ready support content.
auxPages.faq.categories.iplEducationSafety.faqs.whatIsIpl.question	What is IPL and how does an IPL handset reduce hair growth?
auxPages.faq.categories.iplEducationSafety.faqs.whatIsIpl.answer	IPL stands for Intense Pulsed Light. The handset emits pulses of filtered light that are absorbed by pigment in the hair. That energy converts to heat near the follicle, which can reduce hair regrowth over repeated sessions. With consistent use, many users see slower regrowth and finer hair density over time.
auxPages.faq.categories.iplEducationSafety.faqs.isIplSafe.question	Is IPL hair removal safe? Can IPL cause cancer?
auxPages.faq.categories.iplEducationSafety.faqs.isIplSafe.answer	IPL is widely used for hair reduction in both consumer and professional settings. Standard IPL hair removal devices use filtered light and are designed to minimize UV exposure; there is no good evidence that properly used IPL hair removal causes cancer. For safety, follow the instructions, avoid treating broken or irritated skin, and consult a clinician if you have a medical condition or take photosensitizing medication.
auxPages.faq.categories.iplEducationSafety.faqs.doesIplHurt.question	Does IPL treatment hurt?
auxPages.faq.categories.iplEducationSafety.faqs.doesIplHurt.answer	Most users describe IPL as a quick warm snap rather than pain. Higher energy settings can feel more intense on sensitive areas. Start at a low intensity, test a small patch, and increase gradually only if your skin tolerates the treatment comfortably.
auxPages.faq.categories.iplEducationSafety.faqs.whenWillISeeResults.question	When will I see results, and is IPL permanent?
auxPages.faq.categories.iplEducationSafety.faqs.whenWillISeeResults.answer	Many people notice reduced regrowth after a few sessions, with clearer results after a full course (often around 12 weekly sessions). IPL is generally described as long-term hair reduction rather than permanent hair removal. Maintenance sessions may be needed depending on hair type, hormones, and the treatment area.
auxPages.faq.categories.iplEducationSafety.faqs.whereOnBody.question	Where on the body can I use an IPL handset?
auxPages.faq.categories.iplEducationSafety.faqs.whereOnBody.answer	IPL is commonly used on legs, arms, underarms, bikini line, and parts of the face. Avoid treating above the cheekbones, and avoid inner intimate areas (including mucosal tissue). For sensitive areas like the bikini line and inner thighs, use a lower intensity level and follow the device instructions.
auxPages.faq.categories.iplEducationSafety.faqs.howOften.question	How often should I use IPL?
auxPages.faq.categories.iplEducationSafety.faqs.howOften.answer	A typical schedule is once per week for 12 consecutive weeks. Some routines allow up to twice weekly early on, but you should follow the instructions for your specific device configuration. After the initial course, many users do maintenance sessions every 4–12 weeks as needed.
auxPages.faq.categories.iplEducationSafety.faqs.skinToneAndHairColor.question	Does IPL work for my skin tone and hair color?
auxPages.faq.categories.iplEducationSafety.faqs.skinToneAndHairColor.answer	IPL works best when there is contrast between hair pigment and skin tone, because the light targets melanin in the hair. It may be less effective on very light blonde, red, or grey hair. Very dark or recently sunburned skin may carry a higher burn risk. Always follow the skin tone compatibility chart and guidance for the specific device configuration.
auxPages.faq.categories.iplEducationSafety.faqs.voltageAndPlug.question	Will an IPL handset work in my country (voltage and plug type)?
auxPages.faq.categories.iplEducationSafety.faqs.voltageAndPlug.answer	Most modern IPL handsets are designed for global use with dual-voltage power supplies (commonly 110V–240V). Plug types and adapters depend on the destination country and the final packaging configuration. Confirm the exact power spec and included plug type for the model you plan to launch.
auxPages.faq.categories.iplEducationSafety.faqs.shaveBeforeUse.question	Do I need to shave before using IPL? What other hair removal methods are compatible?
auxPages.faq.categories.iplEducationSafety.faqs.shaveBeforeUse.answer	Shaving is usually recommended because it keeps hair short at the surface while leaving the root available for light targeting. Waxing or tweezing removes the hair from the root and can reduce effectiveness during the treatment cycle. If you treat facial areas, follow device guidance; some users choose gentle dermaplaning beforehand.
auxPages.faq.categories.iplEducationSafety.faqs.howToClean.question	How do I clean an IPL handset?
auxPages.faq.categories.iplEducationSafety.faqs.howToClean.answer	Disconnect the device from power before cleaning. Wipe the surface with a clean, dry cloth and 70% isopropyl alcohol. Avoid acetone or abrasive cleaners, and never immerse the device or any parts in water.
auxPages.faq.categories.iplEducationSafety.faqs.whatIsLampMadeOf.question	What is the IPL lamp made of?
auxPages.faq.categories.iplEducationSafety.faqs.whatIsLampMadeOf.answer	Many IPL handsets use a xenon flash lamp tube with optical filtering to reduce unwanted wavelengths such as UV. Lamp construction and filter design vary by model and configuration.
auxPages.faq.categories.iplEducationSafety.faqs.ageToStart.question	At what age can I start IPL treatment?
auxPages.faq.categories.iplEducationSafety.faqs.ageToStart.answer	Many brands recommend IPL for users aged 16+ because hair growth maturity often develops around that age. Anyone under 18 should use IPL only with parental guidance and professional advice.
auxPages.faq.categories.iplEducationSafety.faqs.eyeProtection.question	Do I need eye protection when using IPL?
auxPages.faq.categories.iplEducationSafety.faqs.eyeProtection.answer	Many handsets have skin-contact sensors and will not flash unless the treatment window is pressed against skin. Even so, avoid staring at the flash and consider protective eyewear if you are sensitive to bright light.
auxPages.faq.categories.iplEducationSafety.faqs.pregnantOrBreastfeeding.question	Is it safe to use IPL while pregnant or breastfeeding?
auxPages.faq.categories.iplEducationSafety.faqs.pregnantOrBreastfeeding.answer	There is limited direct research for at-home IPL use during pregnancy or breastfeeding. As a precaution, many brands recommend avoiding IPL during pregnancy and breastfeeding. If unsure, consult your clinician.
auxPages.faq.categories.iplEducationSafety.faqs.frecklesMolesTattoos.question	Is it safe to do IPL over freckles, moles, or tattoos?
auxPages.faq.categories.iplEducationSafety.faqs.frecklesMolesTattoos.answer	Avoid treating directly over dark moles, very dark freckles, or tattoos because darker pigment can absorb more energy and increase burn risk. If you have areas you want to treat near these spots, treat around them and follow device guidance.
auxPages.faq.categories.iplEducationSafety.faqs.beforeOrAfterTanning.question	Can I use IPL before or after tanning?
auxPages.faq.categories.iplEducationSafety.faqs.beforeOrAfterTanning.answer	If you have recently tanned, wait about two weeks before using IPL. After IPL, many guidelines recommend avoiding strong sun exposure for at least 48 hours. Always follow the instructions for your device and your skin sensitivity.
auxPages.faq.categories.iplEducationSafety.faqs.hurtsOrBurning.question	Using IPL hurts or feels like burning. What should I do?
auxPages.faq.categories.iplEducationSafety.faqs.hurtsOrBurning.answer	Stop the session and lower the intensity next time. Common causes of discomfort include recent sun exposure, treating on skin that is too dark for the setting, using an intensity that is too high, not shaving beforehand, pressing too hard, repeating flashes on the same spot, or using lotions/gels that are not recommended. If pain persists or you suspect a device fault, discontinue use and seek support.
auxPages.faq.categories.iplEducationSafety.faqs.flashModes.question	What flash modes are commonly available on IPL handsets?
auxPages.faq.categories.iplEducationSafety.faqs.flashModes.answer	Many IPL devices provide modes such as Stamp (single flash per press), Auto (automatic flashing when in contact with skin), and Glide (continuous movement over larger areas). Available modes and recommended technique depend on the model and safety design.
auxPages.faq.categories.iplEducationSafety.faqs.recurringCostsAndLifetime.question	Are there recurring costs and how long does an IPL handset last?
auxPages.faq.categories.iplEducationSafety.faqs.recurringCostsAndLifetime.answer	Most home-use IPL handsets are designed with high flash counts and do not require refills. Flash count and lifetime vary by model and configuration; many devices are engineered for multi-year use under typical treatment schedules.
auxPages.faq.categories.complianceQuality.title	Certification, Compliance & Quality
auxPages.faq.categories.complianceQuality.description	Answers focused on testing, documentation, certifications, and manufacturing control for regulated or quality-sensitive markets.
auxPages.faq.categories.complianceQuality.faqs.certifications.question	What certifications do your products have?
auxPages.faq.categories.complianceQuality.faqs.certifications.answer	Product certifications depend on the model and market. Common support areas include CE, FDA-related documentation pathways, IEC safety standards, and quality-system documentation required for target-region review.
auxPages.faq.categories.complianceQuality.faqs.regulatoryCompliance.question	Can you help with regulatory compliance in our destination market?
auxPages.faq.categories.complianceQuality.faqs.regulatoryCompliance.answer	Yes. We support documentation preparation, test coordination, and compliance communication for many common market-entry requirements. Final regulatory strategy should always be confirmed against your local legal and certification needs.
auxPages.faq.categories.complianceQuality.faqs.qualityControlMeasures.question	What quality control measures do you have in place?
auxPages.faq.categories.complianceQuality.faqs.qualityControlMeasures.answer	Our process includes incoming material inspection, in-process checks, functional testing, safety verification, cosmetic inspection, and pre-shipment review. This helps reduce variability before products reach your warehouse or channel partner.
auxPages.faq.categories.complianceQuality.faqs.afterSalesWarranty.question	Do you provide after-sales and warranty support?
auxPages.faq.categories.complianceQuality.faqs.afterSalesWarranty.answer	Yes. We support after-sales coordination with troubleshooting guidance, spare parts planning, and warranty process discussion so your customer experience and internal service workflow remain manageable after launch.
auxPages.faq.categories.moqLeadTimeLogistics.title	MOQ, Lead Time, Packaging & Logistics
auxPages.faq.categories.moqLeadTimeLogistics.description	Commercial and fulfillment topics covering sample requests, production timing, packaging, and international delivery planning.
auxPages.faq.categories.moqLeadTimeLogistics.faqs.requestSample.question	How do I request a sample?
auxPages.faq.categories.moqLeadTimeLogistics.faqs.requestSample.answer	You can request a sample through our contact page or by emailing service@ishineco.com. Sample planning usually starts with your target market, desired positioning, and whether you need a standard or customized configuration.
auxPages.faq.categories.moqLeadTimeLogistics.faqs.productionLeadTime.question	What is the typical production lead time for bulk orders?
auxPages.faq.categories.moqLeadTimeLogistics.faqs.productionLeadTime.answer	Production lead time depends on order size, bill of materials, packaging complexity, and certification status. Standard runs often move faster, while custom projects need additional time for validation, sourcing, and approvals.
auxPages.faq.categories.moqLeadTimeLogistics.faqs.customizePackagingManuals.question	Can you customize packaging, manuals, and accessories?
auxPages.faq.categories.moqLeadTimeLogistics.faqs.customizePackagingManuals.answer	Yes. We can support branded cartons, inserts, manuals, labeling, and accessory selections to match your retail, e-commerce, or distributor requirements.
auxPages.faq.categories.moqLeadTimeLogistics.faqs.shipInternationally.question	Do you ship internationally?
auxPages.faq.categories.moqLeadTimeLogistics.faqs.shipInternationally.answer	Yes. We support export documentation and can coordinate shipment planning by air, sea, or courier based on timeline, order size, and destination requirements.
auxPages.faq.categories.nextStepsSupport.title	Next Steps & Commercial Support
auxPages.faq.categories.nextStepsSupport.description	Helpful direction for teams that are comparing suppliers, validating requirements, or preparing a launch timeline.
auxPages.faq.categories.nextStepsSupport.faqs.prepareBeforeContacting.question	What should I prepare before contacting your team?
auxPages.faq.categories.nextStepsSupport.faqs.prepareBeforeContacting.answer	It helps to share your target market, expected volume, desired device positioning, certification needs, packaging direction, and target launch window. Even a rough brief helps us guide the next step faster.
auxPages.faq.categories.nextStepsSupport.faqs.startupBrands.question	Can you support startup brands as well as established buyers?
auxPages.faq.categories.nextStepsSupport.faqs.startupBrands.answer	Yes. We work with both emerging and established brands. The recommended path may differ based on your budget, launch stage, customization needs, and supply-chain readiness.
auxPages.faq.categories.nextStepsSupport.faqs.standardVsCustom.question	How do we decide between a standard model and a fully customized program?
auxPages.faq.categories.nextStepsSupport.faqs.standardVsCustom.answer	That decision usually depends on speed, budget, channel strategy, and differentiation needs. A standard platform can accelerate launch, while a deeper custom program can create stronger market separation over time.
auxPages.faq.categories.nextStepsSupport.faqs.unansweredQuestions.question	What is the best next step if we still have unanswered questions?
auxPages.faq.categories.nextStepsSupport.faqs.unansweredQuestions.answer	The fastest next step is a direct conversation with our team. We can review your product brief, recommend a suitable development path, and clarify MOQ, timeline, compliance, and packaging considerations.
auxPages.privacy.pageTitle	Privacy Policy
auxPages.privacy.pageDescription	How we collect, use, store, and share information when you use iplmanufacturer.com.
auxPages.privacy.privacyNotice	Privacy Notice
auxPages.privacy.lastUpdated	Last updated July 2, 2026
auxPages.privacy.tableOfContents	Table of Contents
auxPages.privacy.inShort	In Short:
auxPages.privacy.noticeList1Before	Visit our website at
auxPages.privacy.noticeList1After	, or any website of ours that links to this privacy notice
auxPages.privacy.noticeIntro2Before	Questions or concerns? Reading this privacy notice will help you understand your privacy rights and choices. If you do not agree with our policies and practices, please do not use our Services. If you still have any questions or concerns, please contact us at
auxPages.privacy.noticeIntro2Mid	or by phone at
auxPages.privacy.noticeIntro1	This privacy notice for {companyName} (“Company,” “we,” “us,” or “our”) describes how and why we might collect, store, use, and/or share (“process”) your information when you use our services (“Services”), such as when you:
auxPages.privacy.noticeList2	Engage with us in other related ways, including any sales, marketing, or events
auxPages.privacy.contactIntroBefore	If you have questions or comments about this notice, you may contact us by email at
auxPages.privacy.contactIntroBetween	, by phone at
auxPages.privacy.contactIntroAfter	, or by post to:
auxPages.privacy.vatLabel	VAT number:
auxPages.privacy.receiverLabel	Receiver name:
auxPages.privacy.postCodeLabel	Post code / ZIP:
auxPages.privacy.phoneLabel	Phone number:
auxPages.privacy.summary.title	Summary of Key Points
auxPages.privacy.summary.intro	This summary provides key points from our privacy notice. You can find more details about any topic by using the table of contents.
auxPages.privacy.summary.q1	What personal information do we process?
auxPages.privacy.summary.a1	When you visit, use, or navigate our Services, we may process personal information depending on how you interact with {companyName} and the Services, the choices you make, and the products and features you use.
auxPages.privacy.summary.q2	Do we process any sensitive personal information?
auxPages.privacy.summary.a2	We do not process sensitive personal information.
auxPages.privacy.summary.q3	Do we receive any information from third parties?
auxPages.privacy.summary.a3	We do not receive any information from third parties.
auxPages.privacy.summary.q4	How do we process your information?
